url,name,desc
https://www.parp.gov.pl/component/site/site/bur-psf-warminsko-mazurskie,Podmiotowy System Finansowania w woj. warmińsko-mazurskim,
https://www.parp.gov.pl/component/site/site/bur-psf-swietokrzyskie,Podmiotowy System Finansowania w woj. świętokrzyskim,
https://www.parp.gov.pl/component/site/site/bur-psf-slaskie,Podmiotowy System Finansowania w woj. śląskim,
https://www.parp.gov.pl/component/site/site/bur-psf-podlaskie,Podmiotowy System Finansowania w woj. podlaskim,
https://www.parp.gov.pl/component/site/site/bur-psf-podkarpackie,Podmiotowy System Finansowania w woj. podkarpackim,
https://www.parp.gov.pl/component/site/site/bur-psf-opolskie,Podmiotowy System Finansowania w woj. opolskim,
https://www.parp.gov.pl/component/site/site/bur-psf-malopolskie,Podmiotowy System Finansowania w woj. małopolskim,
https://www.parp.gov.pl/component/site/site/bur-psf-lubuskie,Podmiotowy System Finansowania w woj. lubuskim,
https://www.parp.gov.pl/component/site/site/bur-psf-lubelskie,Podmiotowy System Finansowania w woj. lubelskim,
https://www.parp.gov.pl/component/site/site/bur-psf-lodzkie,Podmiotowy System Finansowania w woj. łódzkim,
https://www.parp.gov.pl/component/site/site/bur-psf-kujawsko-pomorskie,Podmiotowy System Finansowania w woj. kujawsko-pomorskim,
https://www.parp.gov.pl/component/site/site/bur-psf-dolnoslaskie,Podmiotowy System Finansowania w woj. dolnośląskim,
https://www.parp.gov.pl/component/grants/grants/dotacja-na-kapital-obrotowy,Dotacje na kapitał obrotowy,"Pomoc średnim przedsiębiorcom, którzy znaleźli się w trudnej sytuacji ekonomicznej w związku z zakłóceniami w funkcjonowaniu gospodarki na skutek wystąpienia pandemii COVID-19."
https://www.parp.gov.pl/component/site/site/kompetencje-dla-sektorow-formularz,Akademia szkoleń i doradztwa dla turystyki,Wzrost kompetencji pracowników MŚP z sektora turystycznego.
https://www.parp.gov.pl/component/site/site/kompetencje-dla-sektorow-formularz,Wzrost kompetencji pracowników MŚP z sektora budowlanego.,Wzrost kompetencji pracowników MŚP z sektora budowlanego.
http://www.pmgroup.pl/zamowienia-publiczne-bez-tajemnic-szkolenia-i-doradztwo-dla-msp,"Projekt ""Zamówienia publiczne bez tajemnic""","Szkolenia i doradztwo z zamówień publicznych dla firm z województw opolskiego, łódzkiego i śląskiego"
http://www.szkoleniapzp.pl/,"Projekt ""Zamówienia publiczne dla MMŚP""","Szkolenia i doradztwo z zamówień publicznych dla firm z województw małopolskiego, podkarpackiego, świętokrzyskiego"
http://kancelaria-fk.pl/pzp/,"Projekt ""Prawo Zamówień Publicznych dla Biznesu""",Szkolenia z zamówień publicznych dla przedsiębiorców z województw mazowieckiego i lubelskiego
http://oditk.eu/pzp-dla-msp/,"Projekt ""Przyjazne Zamówienia Publiczne dla MŚP"" II edycja","Szkolenia z zamówień publicznych dla przedsiębiorców z województw kujawsko-pomorskiego, podlaskiego, pomorskiego oraz warmińsko-mazurskiego"
https://www.dga.pl/blog/19-projekt-sukcesja-w-firmach-rodzinnych,"Projekt ""Sukcesja w firmach rodzinnych""","Uzyskaj wsparcie na zaplanowanie sukcesji w województwach: dolnośląskim, lubuskim, wielkopolskim i zachodniopomorskim"
https://www.parp.gov.pl/component/site/site/kursy-online,Akademia PARP,Darmowe kursy online dla Ciebie i Twojego biznesu.
